scenario_id,scenario_name,scenario_type,affected_record_count,expected_join_outcome,expected_reconciliation_outcome,expected_confidence_outcome,expected_category_or_methodology_outcome,expected_export_or_run_gate_outcome,related_exception_codes
SCN-001,Clean happy-path workers,CLEAN,4240,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
SCN-002,Missing payroll join,FAILURE,240,BLOCKER,BLOCKER_EXCEPTION,FAIL_CLOSED(JOIN_MISSING),BLOCKED,BLOCK_EXPORT,JOIN_MISSING_PAYROLL
SCN-003,Duplicate join key,FAILURE,160,BLOCKER,BLOCKER_EXCEPTION,FAIL_CLOSED(JOIN_AMBIGUOUS),BLOCKED,BLOCK_EXPORT,JOIN_DUPLICATE_KEY
SCN-004,Missing mandatory gender,FAILURE,240,PASS,PASS_WITHIN_TOLERANCE,FAIL_CLOSED(FIELD_MISSING:gendar),PASS,BLOCK_EXPORT,
SCN-005,Missing FTE fraction,FAILURE,240,PASS,PASS_WITHIN_TOLERANCE,FAIL_CLOSED(FIELD_MISSING:fte_fraction),PASS,BLOCK_EXPORT,
SCN-006,Unmapped earning code,FAILURE,240,PASS,BLOCKER_EXCEPTION,FAIL_CLOSED(RECON_BLOCKER:EARNING_CODE_UNMAPPED),PASS,BLOCK_EXPORT,EARNING_CODE_UNMAPPED
SCN-007,Suspected earning-code misclassification,EDGE,320,PASS,WARNING_EXCEPTION,LOW(RECON_WARNING:EARNING_CODE_MISCLASSIFIED_SUSPECTED),REVIEW_REQUIRED,BLOCK_EXPORT,EARNING_CODE_MISCLASSIFIED_SUSPECTED
SCN-008,Pending override blocks downstream truth,FAILURE,240,PASS,PASS_WITHIN_TOLERANCE,FAIL_CLOSED(OVERRIDE_PENDING),BLOCKED,BLOCK_EXPORT,
SCN-009,Approved override with evidence,EDGE,240,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
SCN-010,Methodology version mismatch,FAILURE,160,PASS,PASS_WITHIN_TOLERANCE,FAIL_CLOSED(METHODOLOGY_VERSION_MISMATCH),BLOCKED,BLOCK_EXPORT,
SCN-011,Ambiguous job evidence,EDGE,320,PASS,PASS_WITHIN_TOLERANCE,LOW(EVIDENCE_CONFLICT),REVIEW_REQUIRED,BLOCK_EXPORT,
SCN-012,Run-level blocked-record threshold breach,FAILURE,0,MIXED,MIXED,FAIL_CLOSED(FC-R1:blocked_rate),MIXED,BLOCK_RUN_VALIDITY,
SCN-013,Run-level low-confidence threshold breach,FAILURE,0,MIXED,MIXED,FAIL_CLOSED(FC-R1:low_confidence_rate),MIXED,BLOCK_RUN_VALIDITY,
SCN-014,Off-cycle rows present but excluded,EDGE,160,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
SCN-015,Retro rows present but excluded,EDGE,160,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
SCN-016,Allowance rows present but excluded,EDGE,160,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
SCN-017,Base pay clean cases,CLEAN,240,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
SCN-018,Variable pay / bonus cases,CLEAN,240,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
SCN-019,Multi-assignment primary-only should count,EDGE,160,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
SCN-020,Worker-level explainability trace complete,CLEAN,240,PASS,PASS_WITHIN_TOLERANCE,PASS,PASS,ALLOW,
