case_type,issue_code,owner_role,severity,blocker_flag,case_count,affected_record_count,rerun_required,notes
CLASSIFICATION_INSUFFICIENT_DESCRIPTOR,CAT_ASN_INSUFFICIENT_JOB_DESCRIPTOR,HRIS_PEOPLE_DATA_OWNER,HIGH,True,1,5485,True,Downstream symptom tied to descriptor completeness in synthetic baseline; trace via related_case_ids.
DESCRIPTOR_QUALITY_WARNING,JDMS_JOB_LEVEL_ASSIGNMENT_VS_CATALOG_CONFLICT,REWARD_JOB_ARCHITECTURE_OWNER,MEDIUM,False,1,218,True,Accepted-exception eligible (synthetic): warning-only under JDMS for this profile; formal ACCEPTED_EXCEPTION status requires governance decision — not auto-applied here.
JOB_ARCHITECTURE_HIERARCHY_CONFLICT,JDMS_JOB_LEVEL_ASSIGNMENT_VS_CATALOG_CONFLICT,REWARD_JOB_ARCHITECTURE_OWNER,HIGH,True,1,218,True,Coexists with cohort-wide subfamily gap in baseline_adversarial; remediate hierarchy of truth.
DESCRIPTOR_COMPLETENESS_BLOCKER,JDMS_JOB_SUBFAMILY_CODE_MISSING,HRIS_PEOPLE_DATA_OWNER,CRITICAL,True,1,5695,True,Synthetic baseline pack; sealed-run discipline: fix source data and re-seal — do not mutate historical snapshot artifacts.
JOB_EVIDENCE_AMBIGUITY_BLOCKER,WORKER_AMBIGUOUS_JOB_EVIDENCE,HRIS_PAYROLL_INTEGRATION_OWNER,MEDIUM,True,1,320,True,Worker-level adapter labels; counts are not identical to engine-row cohort — coarse synthetic bucket.
INTAKE_JOIN_INTEGRITY_BLOCKER,WORKER_JOIN_NOT_OK,HRIS_PAYROLL_INTEGRATION_OWNER,HIGH,True,1,473,True,Worker-level adapter labels; counts are not identical to engine-row cohort — coarse synthetic bucket.
METHODOLOGY_ADAPTER_MISMATCH_BLOCKER,WORKER_METHODOLOGY_MISMATCH_SCENARIO_ADAPTER,REWARD_GOVERNANCE_OWNER,HIGH,True,1,160,True,Worker-level adapter labels; counts are not identical to engine-row cohort — coarse synthetic bucket.
DEMO_WORKER_MANDATORY_FIELD_BLOCKER,WORKER_MISSING_FTE_PRIMARY_ASSIGNMENT,HRIS_PEOPLE_DATA_OWNER,MEDIUM,True,1,240,True,Worker-level adapter labels; counts are not identical to engine-row cohort — coarse synthetic bucket.
DEMO_WORKER_MANDATORY_FIELD_BLOCKER,WORKER_MISSING_GENDER,HRIS_PEOPLE_DATA_OWNER,MEDIUM,True,1,240,True,Worker-level adapter labels; counts are not identical to engine-row cohort — coarse synthetic bucket.
GOVERNANCE_PENDING_OVERRIDE_BLOCKER,WORKER_PENDING_OVERRIDE_SCENARIO,REWARD_GOVERNANCE_OWNER,MEDIUM,True,1,240,True,Worker-level adapter labels; counts are not identical to engine-row cohort — coarse synthetic bucket.
PAYROLL_MAPPING_BLOCKER,WORKER_UNMAPPED_EARNING_CODE,PAYROLL_CONTROLS_OWNER,HIGH,True,1,240,True,Worker-level adapter labels; counts are not identical to engine-row cohort — coarse synthetic bucket.
