"field_group","field_name_canonical","business_definition","pilot_mandatory","system_of_record_primary","system_of_record_secondary","systems_of_input","derivation_logic","business_owner","technical_owner","reconciliation_method","reconciliation_level","tolerance","failure_severity","failure_impact","confidence_inputs","privacy_classification","access_control","retention_requirement","lineage_required","audit_requirement","legal_or_usage_notes","version_introduced","change_control"
"worker identity / employment","worker_id","Canonical internal worker identifier used to join worker-scoped records within a snapshot. Must be stable within the pilot run.","Y","Workday","Payroll","Workday; Payroll","Prefer Workday worker identifier; if payroll has separate person key, store as payroll_worker_id and map to worker_id via approved crosswalk. worker_id must be unique per snapshot.","HRIS / People Data Owner","Data Engineering / Intake","Join integrity check (HRIS↔Payroll) + uniqueness constraint","record","0 duplicates; 0 nulls; 100% join for in-scope workers","BLOCKER","Without a stable worker id no joins or per-worker explainability is possible. All downstream outputs invalid.","Presence; uniqueness; HRIS↔Payroll join rate; duplicate/orphan counts","SENSITIVE_PII","Restricted: Payroll, HRIS, Reward, Legal, Privacy, Internal Audit (need-to-know). Mask in non-privileged views.","Pilot extracts retained per approved retention schedule; delete raw extracts per pilot policy; retain snapshot lineage + hashed references as evidence.","Y","Audit access to worker-level identifiers; audit any changes to mapping crosswalk.","Purpose limitation: validation + compliance evidence only.","v1","Change requires HRIS owner + Payroll controls sign-off; privacy veto applies."
"worker identity / employment","workday_worker_id","Native Workday worker/person identifier used for extraction and traceability.","Y","Workday","","Workday","Direct extract; stored as source lineage key; must map 1:1 to worker_id within snapshot.","HRIS / People Data Owner","Data Engineering / Intake","Uniqueness + mapping completeness check","field","0 nulls; 0 duplicates","BLOCKER","Missing Workday id breaks HRIS lineage and impairs auditability.","Presence; uniqueness; mapping completeness","SENSITIVE_PII","Restricted as above","As above; retain for audit lineage for pilot window.","Y","Audit extraction and mapping rules version.","Do not repurpose for non-pilot analytics.","v1","HRIS owner approval required."
"worker identity / employment","payroll_worker_id","Native payroll worker/person identifier used for extraction and payroll-anchored reconciliation.","Y","Payroll","","Payroll","Direct extract; map to worker_id via approved crosswalk; must be unique within payroll provider context.","Payroll Controls Owner","Data Engineering / Intake","Uniqueness + join integrity check (Payroll↔HRIS)","field","0 nulls; 0 duplicates; >=99% join overall (per Validation Charter G7)","BLOCKER","Missing payroll id prevents payroll anchoring for remuneration truth.","Presence; uniqueness; join rate; duplicates/orphans","SENSITIVE_PII","Restricted as above","As above; retain for audit lineage for pilot window.","Y","Audit payroll extract lineage and mapping changes.","Payroll identifiers must not be shared outside approved access groups.","v1","Payroll controls sign-off required."
"worker identity / employment","employment_status","Worker employment status at snapshot effective date (e.g., active/terminated/leave) as used to include/exclude population.","Y","Workday","Payroll","Workday; Payroll","Primary from Workday worker status at snapshot date; payroll used only to detect mismatches for active paid workers.","HRIS / People Data Owner","Data Engineering / Intake","Field-level comparison HRIS vs payroll-active indicator","field","Exact match for in-scope paid workers; exceptions must be coded","BLOCKER","Incorrect population inclusion/exclusion undermines compliance metrics and audit defensibility.","Status present; HRIS↔Payroll mismatch count; exception codes","SENSITIVE_PII","Restricted as above","Retain with snapshot as evidence.","Y","Audit inclusion/exclusion decisions at run level.","Population rules must align to pilot scope lock (Validation Charter G1).","v1","HRIS owner + Legal review for rule change."
"worker identity / employment","employment_type","Employment type (e.g., employee/worker classification per HRIS) used for eligibility and required reporting segmentation where applicable.","Y","Workday","Payroll","Workday; Payroll","Primary from Workday employment type; payroll used only as mismatch signal when a worker is paid as a different type. Canonicalize to controlled enum.","HRIS / People Data Owner","Data Engineering / Intake","Field-level reconciliation HRIS vs payroll worker type (when present)","field","Exact match when both present; missing for any in-scope worker is not allowed unless exception approved","BLOCKER","Incorrect employment type can lead to invalid in-scope population and defensibility gaps.","Completeness rate; mismatch count; exception codes","SENSITIVE_PII","Restricted as above","Retain with snapshot; purpose limitation applies.","Y","Audit any overrides/corrections and their approvals.","Population rules must align to pilot scope lock.","v1","HRIS owner + Legal review for rule change."
"worker identity / employment","contract_type","Contract type (e.g., permanent/fixed-term) used for eligibility and methodology segmentation where applicable.","Y","Workday","Payroll","Workday; Payroll","Primary from Workday contract type; payroll used only for mismatch detection if present. Canonicalize to controlled enum.","HRIS / People Data Owner","Data Engineering / Intake","Field-level reconciliation HRIS vs payroll contract flags (when present)","field","Exact match when both present; missing for any in-scope worker is not allowed unless exception approved","BLOCKER","Incorrect contract type can cause defensibility issues and incorrect population segmentation.","Completeness rate; mismatch count; exception codes","SENSITIVE_PII","Restricted as above","Retain with snapshot; purpose limitation applies.","Y","Audit any overrides/corrections and their approvals.","Use only where explicitly required by methodology/pilot scope.","v1","HRIS owner + Legal review for rule change."
"worker identity / employment","employment_start_date","Employment start date used for eligibility/tenure rules if applicable in methodology.","Y","Workday","","Workday","Direct extract; effective-dated; store as ISO date.","HRIS / People Data Owner","Data Engineering / Intake","Completeness + plausibility checks","field","0 nulls for in-scope; valid date","WARNING","May affect eligibility/segmentation; usually not required for EU core metrics but may affect methodology sampling.","Presence; date validity","SENSITIVE_PII","Restricted as above","Retain with snapshot; follow pilot retention schedule.","Y","Audit if used in methodology decisions.","Use only for defined methodology inputs; avoid unnecessary processing.","v1","HRIS owner approval required."
"worker identity / employment","employment_end_date","Employment end date for terminated workers used to determine in-scope period inclusion.","N","Workday","","Workday","Direct extract; nullable for active workers.","HRIS / People Data Owner","Data Engineering / Intake","Completeness + consistency with status","field","If status=terminated then end_date required; else nullable","WARNING","Wrong termination dating can bias inclusion and payroll-period reconciliation windows.","Presence; consistency checks","SENSITIVE_PII","Restricted as above","Retain with snapshot.","Y","Audit population filter logic versions.","Purpose limitation as above.","v1","HRIS owner approval required."
"worker identity / employment","assignment_id","Identifier for employment/assignment record when worker can have multiple concurrent assignments.","Y","Workday","Payroll","Workday; Payroll","Primary from Workday assignment/position assignment key; payroll assignment key mapped where distinct. Must be unique per worker within snapshot when present.","HRIS / People Data Owner","Data Engineering / Intake","Join integrity at assignment grain (where payroll supports)","record","0 nulls if multi-assignment in scope; uniqueness per worker","BLOCKER","Without assignment_id, pay and job attributes may be misattributed across concurrent roles.","Presence; uniqueness; assignment join rate","SENSITIVE_PII","Restricted as above","Retain with snapshot; delete raw extracts per policy.","Y","Audit mapping from payroll assignment identifiers.","Pilot scope must state whether multiple assignments are in scope.","v1","HRIS + Payroll controls approval required."
"legal entity / country / payroll context","legal_entity_id","Identifier of the employing legal entity used for reporting boundaries and payroll context.","Y","Workday","Payroll","Workday; Payroll","Primary from Workday legal entity/company; payroll used for cross-check. Store both ids if differing and map via approved crosswalk.","HRIS / People Data Owner","Data Engineering / Intake","Field-level comparison HRIS vs payroll company","field","Exact match via crosswalk; 0 unmapped entities","BLOCKER","Incorrect legal entity breaks statutory scoping and payroll reconciliation boundaries.","Entity mapping completeness; mismatch counts","SENSITIVE_PII","Restricted as above","Retain with snapshot; entity crosswalk retained as governance artifact.","Y","Audit entity crosswalk changes and approvals.","Entity mappings are controlled reference data; do not change without governance.","v1","HRIS + Payroll controls + Legal notified."
